Island,Site,Plot,SY,Date_Survey,Pore_water,Inside_plot,Survey_start,Survey_end,Personnel,Water_depth,Temp,DO_percent,DO_mg_L,Salinity_ppt,SPC,TDS,pH,Syringe_used,Notes,water_depth_below_zero,Salinity_ppt_above_70ppt,TDS_above_70ppt
St Thomas,Brewers Bay,A,2023,2/9/2023,NA,N,NA,NA,"AJH, JS",32,26.2,95.4,6.49,28.61,44389,28856,7.86,N,,-15,189.05,
St Thomas,Brewers Bay,C,2024,6/10/2024,,NA,NA,NA,,7,33,104.4,6.91,29.67,43964,242,7.85,N,,-12.1,189.03,
St Thomas,Brewers Bay,B,2024,6/10/2024,,NA,NA,NA,,4,27.9,68.1,5.13,1.35,2632,1712,7.84,N,ghut flowing,-9.7,186.44,
St Thomas,Brewers Bay,C,2024,6/10/2024,,NA,NA,NA,,10.7,32.5,106.2,6.78,27.74,46300,27253,7.84,N,,-9.5,154.24,
St Thomas,Brewers Bay,C,2023,2/9/2023,NA,N,NA,NA,"AJH, JS",5.4,26.2,94.2,6.48,29.17,45148,29348,7.82,N,,-9.1,147.05,
St Thomas,Brewers Bay,A,2023,2/9/2023,NA,N,NA,NA,"AJH, JS",23,26.6,88.8,6.14,26.64,41623,27055,7.79,N,,-6.6,142.6,
St Thomas,Brewers Bay,A,2024,6/5/2024,,NA,NA,NA,,17.1,36,90.1,5.75,21.24,32776,20818,7.76,N,actively raining,-6,139.84,
St Thomas,Brewers Bay,B,2023,2/9/2023,NA,N,NA,NA,"AJH, JS",5,26,81.8,5.94,20.2,32401,21059,7.76,Y,,-6,136.15,
St Thomas,Brewers Bay,A,2023,2/9/2023,NA,N,NA,NA,"AJH, JS",24,26.9,87.7,6.1,25.19,39570,25717,7.75,N,,-5.5,135.38,
St Thomas,Brewers Bay,B,2023,2/9/2023,NA,N,NA,NA,"AJH, JS",7.5,25.8,77.3,5.58,21.69,34560,22465,7.74,N,,-5.5,134.87,
St Thomas,Brewers Bay,C,2023,2/9/2023,NA,N,NA,NA,"AJH, JS",1,26,96.1,6.64,28.97,44867,29169,7.74,Y,,-5,134.55,
St Thomas,Brewers Bay,A,2024,6/5/2024,,NA,NA,NA,,12.5,31,94.4,5.87,25.13,39460,25504,7.72,N,actively raining,-5,134.52,
St Thomas,Brewers Bay,B,2023,2/9/2023,NA,N,NA,NA,"AJH, JS",1,26.2,96.7,7.09,16.94,29876,19619,7.65,Y,,-4.5,133.67,
St Thomas,Brewers Bay,B,2024,6/10/2024,,NA,NA,NA,,2.6,28.4,60.5,4.68,1.64,2967,2007,7.62,N,ghut flowing,-4.5,129.04,
St Thomas,Brewers Bay,A,2024,6/5/2024,,NA,NA,NA,,17.8,31.6,99.8,6.11,30.02,,30222,7.56,N,actively raining,-4.5,128,
St Thomas,Brewers Bay,C,2023,7/24/2023,NA,NA,NA,NA,NA,3,29.5,97.6,6.11,36.54,55863,35944,7.52,N,,-4,126.66,
St Thomas,Brewers Bay,B,2024,6/10/2024,,NA,NA,NA,,6.2,27.9,69.1,5.22,1.53,2688,1770,7.43,N,ghut flowing,-4,124.87,
St Thomas,Brewers Bay,C,2024,6/10/2024,,NA,NA,NA,,11.8,33.3,107.6,6.79,21.4,47785,31176,7.43,N,,-3.6,123.25,
St Thomas,Brewers Bay,C,2023,7/24/2023,NA,NA,NA,NA,NA,2.5,29.3,96.2,6.03,37.05,55973,36384,7.31,Y,,-3.5,121.28,
St Thomas,Brewers Bay,B,2023,7/24/2023,NA,NO,NA,NA,NA,7.8,28.8,39.4,2.45,37.13,56051,36439,7.14,N,,-3.5,119.44,
St Thomas,Brewers Bay,B,2023,7/24/2023,NA,NO,NA,NA,NA,10,28.9,39.4,2.45,37.17,56133,36484,7.14,N,,-3.5,117.75,
St Thomas,Brewers Bay,C,2023,7/24/2023,NA,NA,NA,NA,NA,2,28.6,98,6.17,37.74,56797,36958,7.13,Y,,-3.5,106.36,
St Thomas,Brewers Bay,A,2023,7/24/2023,NA,NA,NA,NA,NA,5,28.6,30.5,1.9,36.45,55152,35852,7.05,N,,-3.4,105.45,
St Thomas,Brewers Bay,B,2023,7/24/2023,NA,NO,NA,NA,NA,4.5,28.7,38.4,2.36,36.84,55643,36172,7.05,N,,-3,101.88,
St Thomas,Brewers Bay,A,2023,7/24/2023,NA,NA,NA,NA,NA,12,28.7,35.1,2.16,36.76,55569,36123,7.03,N,,-3,98.74,
St Thomas,Brewers Bay,C,2023,2/9/2023,NA,N,NA,NA,"AJH, JS",1,25.9,95.8,6.61,29.75,45935,29857,7,Y,,-3,97.49,
St Thomas,Brewers Bay,A,2023,7/24/2023,NA,NA,NA,NA,NA,6,28.6,26.8,1.57,37.53,56599,36794,6.48,N,,-3,97.11,
St Thomas,Brewers Bay,A,2022,8/27/2021,no,yes,9:15,NA,"KWG, AND, HAS, AJH",6,28.6,15,0.93,33.15,50687,32.965,,No,,-3,96.54,
St Thomas,Brewers Bay,A,2022,9/21/2021,No,yes,9:15,NA,"KWG, AND, HAS, AJH",9,28.3,19.4,1.24,33.38,50998,33.15,,No,,-2.9,96.49,
St Thomas,Brewers Bay,A,2022,8/27/2021,No,yes,9:15,NA,"KWG, AND, HAS, AJH",22,29.4,29.2,1.84,33.85,51650,33.64,,No,,-2.5,96.1,
St Thomas,Brewers Bay,B,2023,8/18/2022,no,yes,12:40,12:48,"AND, AJH",4,28.4,70.6,5.33,1.67,3299,2056,,yes,standing water at site; H2O slick (recent rain),-2.5,95.2,
